date,dp,term,def,ypl,tb30,CRSP_SPvwx,realgnpg,mktrf,Rfree,AAA,BAA,vwretx,ewretx,corpr
1941-02-28,6.82157258064516,2.74,4.636887683870614,,0.0004,-0.01257,,-0.0136396675618034,-0.0001,0.0278,0.0442,-0.0389579364457816,-0.0133405,0.0006
1941-03-31,6.827309236947792,2.69,4.474293072071962,,0.0011,0.004173,,0.0039778570202271,0.0001,0.028,0.0438,-0.0130237327597578,-0.0272493401797175,-0.0022
1941-04-30,7.339419978517722,2.72,4.288306570643763,,0.001,-0.063463,,-0.0626056104694242,-0.0001,0.0282,0.0433,0.0104039025861861,0.0080890140664961,0.0078
1941-05-31,7.344385026737968,2.7,4.300709189103644,,0.0011,0.00214,,0.0043335065320389,0.0,0.0281,0.0432,-0.0520587213784315,-0.0633496717752234,0.0049
1941-06-30,7.005076142131979,2.65,4.420905839164093,,0.0012,0.052486,,0.0489291681374361,0.0,0.0277,0.0431,0.016565851337683,0.0057115849297573,0.0063
1941-07-31,6.672762271414821,2.62,4.4599508919372655,,0.0012,0.055619,,0.0499619727882201,0.0003,0.0274,0.0428,0.0602487943849371,0.0625589283887468,0.0063
1941-08-31,6.764077669902912,2.6100000000000003,4.436559068405543,,0.0013,-0.009736,,-0.0079442381213987,0.0001,0.0274,0.0427,0.0629421455569219,0.1211462334183673,0.0034
1941-09-30,6.862745098039216,2.65,4.470141110210366,,0.001,-0.011499,,-0.0089324335546039,0.0001,0.0275,0.043,-0.0001814135470075,-0.0134298928571428,0.0048
1941-10-31,7.403157894736842,2.64,4.496514003968368,,0.0009,-0.065955,,-0.0660515918574624,0.0,0.0273,0.0428,-0.0067365207199662,-0.027810117048346,0.0034
1941-11-30,7.765934065934066,2.44,4.533211292857993,,0.0028,-0.042107,,-0.0396453718299643,0.0,0.0272,0.0428,-0.049297238947999,-0.0661437709923664,-0.0094
1941-12-31,8.170310701956272,2.47,4.474293072071962,,0.0033,-0.046205,,-0.0424561312720466,0.0001,0.028,0.0438,-0.0164011324905359,-0.0396048127388535,0.0006
1942-01-31,7.982973893303065,2.56,4.160100212847793,,0.0027,0.020639,,0.0117811502415784,0.0002,0.0283,0.0429,-0.0399801850849622,-0.0868984910941475,0.0006
1942-02-28,8.110593713620489,2.6,4.089677386593666,0.2069806736720025,0.0025,-0.024642,,-0.0242075454679793,0.0001,0.0285,0.0429,0.016105644892349,0.1283327763659466,-0.0008
1942-03-31,8.614232209737828,2.6100000000000003,4.07793397867755,0.1932100683654445,0.0025,-0.069676,,-0.0653602383923521,0.0001,0.0286,0.043,-0.0221138676444604,-0.0211884828462515,0.0063
1942-04-30,8.87728459530026,2.51,4.089924486261327,0.1696185606809599,0.0032,-0.040323,,-0.0423598042902155,0.0001,0.0283,0.0426,-0.062393845317972,-0.0592690747782002,0.0006
1942-05-31,8.220858895705522,2.4800000000000004,4.04294832959974,0.1338392613951218,0.0037,0.060119,,0.0556586986390465,0.0003,0.0285,0.0427,-0.0411933242512055,-0.053788,0.002
1942-06-30,7.951807228915662,2.4800000000000004,4.1824854773383935,0.0869545687308532,0.0037,0.016976,,0.0155483769654726,0.0002,0.0285,0.0433,0.0639933775961804,0.0258424955752212,0.0034
1942-07-31,7.5549065420560755,2.45,4.183383110443701,0.0815301735671345,0.0038,0.034314,,0.0268612978754536,0.0003,0.0283,0.043,0.0292282515270047,0.0212759633375474,0.002
1942-08-31,7.346867749419954,2.43,4.207685262480507,0.0947894449242918,0.0038,0.007531,,0.0047488097782417,0.0003,0.0281,0.0428,0.0370067176074308,0.0405562417721519,0.0035
1942-09-30,7.005649717514125,2.42,4.196497431001207,0.1147588105151298,0.0038,0.027671,,0.0228487075304586,0.0003,0.028,0.0426,0.0197492438841317,0.0232499216182048,0.002
1942-10-31,6.475583864118896,2.42,4.14943852062708,0.1405153040781839,0.0038,0.066333,,0.0571517397668592,0.0003,0.028,0.0424,0.0279947797821415,0.0453530670037926,0.0006
1942-11-30,6.458557588805166,2.41,4.208773871030509,0.1670492397438772,0.0038,-0.016937,,-0.0143564113482213,0.0003,0.0279,0.0425,0.0719070914719313,0.0961462886075949,0.0006
1942-12-31,6.038894575230297,2.43,4.207685262480507,0.1893746778903968,0.0038,0.050449,,0.0461281361877181,0.0003,0.0281,0.0428,0.0060717370744166,-0.018654964556962,0.0049
1943-01-31,5.6351480420248325,2.41,3.9947347843989744,0.1977227772987777,0.0038,0.071062,,0.0650828042538542,0.0003,0.0279,0.0416,0.0543724475553275,0.0298479809885931,0.0049
1943-02-28,5.363636363636363,2.39,3.872496682168234,0.1848559902585298,0.0038,0.052676,,0.0465077062484733,0.0003,0.0277,0.0408,0.0757106873358585,0.1628892848101265,0.0006
1943-03-31,5.094991364421416,2.38,3.7356056158941886,0.1947473793866787,0.0038,0.055182,,0.0485312946387776,0.0003,0.0276,0.0401,0.0658435315566931,0.1280755481012658,0.002
1943-04-30,5.090595340811044,2.38,3.6101334553733055,0.1904731236465218,0.0038,0.002332,,0.0005214002733169,0.0003,0.0276,0.0396,0.0647489331246367,0.1098126058301647,0.0049
1943-05-31,4.872006606110652,2.36,3.555794535972958,0.2405381002476783,0.0038,0.045651,,0.041506776173797,0.0003,0.0274,0.0391,0.0116693329317539,0.0328187794676806,0.0048
1943-06-30,4.777327935222672,2.34,3.552032733272763,0.2466650136374906,0.0038,0.017142,,0.0184213405992108,0.0003,0.0272,0.0388,0.0610429187173809,0.081031917617237,0.0048
1943-07-31,5.079623287671233,2.31,3.4808799552486214,0.2372524925984875,0.0038,-0.054238,,-0.0531970728638822,0.0003,0.0269,0.0381,0.0210813703850091,0.0080472728426395,0.0019
1943-08-31,5.056779661016949,2.31,3.4808799552486214,0.2445880998575074,0.0038,0.010751,,0.0097041819332501,0.0003,0.0269,0.0381,-0.0444469542782484,-0.0701525120101137,0.0019
1943-09-30,4.966887417218543,2.31,3.5332360957880704,0.2331908642689149,0.0038,0.023331,,0.0222956858399634,0.0003,0.0269,0.0383,0.0145242198286668,-0.0029496675062972,0.0005
